table_schema,table_name,approx_rows
factset_common_old,ff_balance_model_rpt_map,0
factset_common_old,ff_entity_profiles,0
factset_common_old,ff_financial_stmt_map,0
factset_common_old,ff_fp_ind_map,0
factset_common_old,ff_gen_ind_map,0
factset_common_old,ff_metadata,0
factset_common_old,ff_report_freq_map,0
factset_common_old,ff_sec_coverage,0
factset_common_old,ff_sec_entity,0
factset_common_old,ff_sec_entity_hist,0
factset_common_old,ff_sec_map,0
factset_common_old,ff_stitch_af,0
factset_common_old,ff_stitch_ltm,0
factset_common_old,ff_stitch_qf,0
factset_common_old,ff_stitch_saf,0
factset_common_old,fp_div_ngflag_map,0
factset_common_old,fp_div_tax_marker_map,0
factset_common_old,fp_div_type_map,0
factset_common_old,fp_sec_type_map,0
factset_common_old,fref_security_type_map,0
factset_common_old,fref_sec_exchange_map,0
factset_common_old,frequency_map,0
factset_common_old,fund_type_map,0
factset_common_old,fut_unit_map,0
factset_common_old,fx_rates_hist,0
factset_common_old,fx_rates_usd,0
factset_common_old,generic_holding_id_map,0
factset_common_old,generic_id_map,0
factset_common_old,hier_product_type_map,0
factset_common_old,hts_code_map,0
factset_common_old,h_entity,0
factset_common_old,h_entity_sector,0
factset_common_old,h_security_cusip,0
factset_common_old,h_security_cusip_hist,0
factset_common_old,h_security_isin,0
factset_common_old,h_security_sedol,0
factset_common_old,h_security_sedol_hist,0
factset_common_old,h_security_ticker_exchange,0
factset_common_old,h_security_ticker_region,0
factset_common_old,insider_tran_map,0
factset_common_old,invt_obj_asset_type_map,0
factset_common_old,invt_obj_map,0
factset_common_old,invt_obj_specialization_map,0
factset_common_old,iso_currency_map,0
factset_common_old,issue_type_map,0
factset_common_old,list_map,0
factset_common_old,ma_acq_purpose_map,0
factset_common_old,ma_closing_status_map,0
factset_common_old,ma_company_role_map,0
factset_common_old,ma_deal_attitude_map,0
factset_common_old,ma_deal_type_map,0
factset_common_old,ma_profession_role_map,0
factset_common_old,ma_profession_type_map,0
factset_common_old,ma_term_change_types_map,0
factset_common_old,metro_map,0
factset_common_old,mic_exchange_map,0
factset_common_old,nace_classification_map,0
factset_common_old,naics6_map,0
factset_common_old,period_type_map,0
factset_common_old,pe_event_id_map,0
factset_common_old,pe_fund_status_map,0
factset_common_old,pe_fund_type_map,0
factset_common_old,pe_instrument_map,0
factset_common_old,pe_security_categories_map,0
factset_common_old,pe_transaction_map,0
factset_common_old,ppl_asset_type_map,0
factset_common_old,ppl_board_committee_map,0
factset_common_old,ppl_bus_map,0
factset_common_old,ppl_job_function_map,0
factset_common_old,ppl_region_map,0
factset_common_old,ppl_special_area_map,0
factset_common_old,rbics_structure_l2_curr,0
factset_common_old,ref_metadata_codes,0
factset_common_old,ref_metadata_fields,0
factset_common_old,ref_metadata_packages,0
factset_common_old,ref_metadata_tables,0
factset_common_old,region_map,0
factset_common_old,relationship_type_map,0
factset_common_old,resolution_map,0
factset_common_old,sc_ship_unit_map,0
factset_common_old,shrk_advisor_type_map,0
factset_common_old,shrk_amendment_type_map,0
factset_common_old,shrk_anr_event_map,0
factset_common_old,shrk_campaign_status_map,0
factset_common_old,shrk_campaign_type_map,0
factset_common_old,shrk_ca_activism_map,0
factset_common_old,shrk_ca_activist_map,0
factset_common_old,shrk_ca_defense_map,0
factset_common_old,shrk_cg_amendment_type_map,0
factset_common_old,shrk_cg_source_map,0
factset_common_old,shrk_election_source_map,0
factset_common_old,shrk_frq_rec_map,0
factset_common_old,shrk_gov_obj_map,0
factset_common_old,shrk_meeting_type_map,0
factset_common_old,shrk_pill_status_map,0
factset_common_old,shrk_pill_type_map,0
factset_common_old,shrk_pill_version_type_map,0
factset_common_old,shrk_proposal_cat_map,0
factset_common_old,shrk_proposal_sub_map,0
factset_common_old,shrk_proposal_type_map,0
factset_common_old,shrk_recommend_type_map,0
factset_common_old,shrk_source_type_map,0
factset_common_old,shrk_special_exhibit_map,0
factset_common_old,shrk_value_obj_map,0
factset_common_old,shrk_vote_pass_map,0
factset_common_old,shrk_vote_req_map,0
factset_common_old,shrk_winner_map,0
factset_common_old,sic_map,0
factset_common_old,source_map,0
factset_common_old,state_province_map,0
factset_common_old,state_prov_coord_map,0
factset_common_old,sym_coverage,0
factset_common_old,sym_cusip,0
factset_common_old,sym_cusip_hist,0
factset_common_old,sym_entity,0
factset_common_old,sym_entity_sector,0
factset_common_old,sym_entity_sector_rbics,0
factset_common_old,sym_isin,0
factset_common_old,sym_isin_hist,0
factset_common_old,sym_legacy_perm_id,0
factset_common_old,sym_people,0
factset_common_old,sym_region,0
factset_common_old,sym_sec_entity,0
factset_common_old,sym_sedol,0
factset_common_old,sym_ticker_exchange,0
factset_common_old,sym_ticker_exchange_hist,0
factset_common_old,sym_ticker_region,0
factset_common_old,sym_ticker_region_hist,0
factset_common_old,sym_xc_isin,0
factset_common_old,unit_amount_map,0
factset_common_old,wrds_securities,0
factset_common_old,wrds_securities_v3,0
factset_ff_int,ff_basic_der_ytd_ap,0
factset_ff_int,ff_basic_der_saf_eu,0
factset_ff_int,ff_basic_der_saf_ap,0
factset_ff_int,ff_basic_der_r_ytd_eu,0
factset_ff_int,ff_basic_der_r_ytd_ap,0
factset_ff_int,ff_basic_der_r_saf_eu,0
factset_ff_int,ff_basic_der_r_saf_ap,0
factset_ff_int,ff_basic_der_r_qf_eu,0
factset_ff_int,ff_basic_der_r_qf_ap,0
factset_ff_int,ff_basic_der_r_ltm_eu,0
factset_ff_int,ff_basic_der_r_ltm_ap,0
factset_ff_int,ff_basic_der_r_af_eu,0
factset_ff_int,ff_basic_der_r_af_ap,0
factset_ff_int,ff_basic_der_qf_eu,0
factset_ff_int,ff_basic_der_qf_ap,0
factset_ff_int,ff_basic_der_ltm_eu,0
factset_ff_int,ff_basic_der_ltm_ap,0
factset_ff_int,ff_basic_der_af_eu,0
factset_ff_int,ff_basic_der_af_ap,0
factset_ff_int,ff_basic_cf_eu,0
factset_ff_int,ff_basic_cf_ap,0
factset_ff_int,ff_basic_af_eu,0
factset_ff_int,ff_basic_af_ap,0
factset_ff_int,ff_auditors_int,0
factset_ff_int,ff_advanced_ytd_eu,0
factset_ff_int,ff_advanced_ytd_ap,0
factset_ff_int,ff_advanced_saf_eu,0
factset_ff_int,ff_advanced_saf_ap,0
factset_ff_int,ff_advanced_r_ytd_eu,0
factset_ff_int,ff_advanced_r_ytd_ap,0
factset_ff_int,ff_advanced_r_saf_eu,0
factset_ff_int,ff_advanced_r_saf_ap,0
factset_ff_int,ff_advanced_r_qf_eu,0
factset_ff_int,ff_advanced_r_qf_ap,0
factset_ff_int,ff_advanced_r_ltm_eu,0
factset_ff_int,ff_advanced_r_ltm_ap,0
factset_ff_int,ff_advanced_r_af_eu,0
factset_ff_int,ff_advanced_r_af_ap,0
factset_ff_int,ff_advanced_qf_eu,0
factset_ff_int,ff_advanced_qf_ap,0
factset_ff_int,ff_advanced_ltm_eu,0
factset_ff_int,ff_advanced_ltm_ap,0
factset_ff_int,ff_advanced_der_ytd_eu,0
factset_ff_int,ff_advanced_der_ytd_ap,0
factset_ff_int,ff_advanced_der_saf_eu,0
factset_ff_int,ff_advanced_der_saf_ap,0
factset_ff_int,ff_advanced_der_r_ytd_eu,0
