"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"00BJ6W-E","HF",64,65,1,1,2,25,26,0.04,0.0384615384615385,2,"intermittent"
"00BJ81-E","HF",52,63,6,5,11,22,22,0.272727272727273,0.227272727272727,12,"intermittent"
"00BJCT-E","HF",15,36,11,11,22,10,10,1.1,1.1,22,"quarterly"
"00BKYH-E","HF",4,24,11,10,21,5,5,2.2,2,21,"quarterly"
"00BL9L-E","HF",12,37,9,9,18,10,11,0.9,0.818181818181818,26,"quarterly"
"00BQCM-E","HF",18,21,1,2,3,3,4,0.333333333333333,0.5,4,"too short to classify"
"00BQGV-E","HF",16,67,11,10,21,33,33,0.333333333333333,0.303030303030303,52,"intermittent"
"00BQKX-E","HF",28,85,9,10,19,35,36,0.257142857142857,0.277777777777778,58,"intermittent"
"00BQNJ-E","HF",16,28,7,6,13,7,7,1,0.857142857142857,13,"quarterly"
"00BQT2-E","HF",16,60,20,18,38,30,29,0.666666666666667,0.620689655172414,45,"intermittent"
"00BQW2-E","HF",16,85,35,35,70,34,35,1.02941176470588,1,70,"quarterly"
"00BQWT-E","HF",16,22,4,3,7,4,4,1,0.75,7,"intermittent"
"00BQX9-E","HF",17,19,0,2,2,2,3,0,0.666666666666667,3,"too short to classify"
"00BR1G-E","HF",18,19,1,1,2,-21,-20,1,1,2,"too short to classify"
"00BR1V-E","HF",16,85,35,35,70,35,36,1,0.972222222222222,70,"quarterly"
"00BRMS-E","HF",16,24,5,4,9,12,11,0.416666666666667,0.363636363636364,9,"intermittent"
"00BZN0-E","HF",20,75,17,17,34,37,37,0.45945945945946,0.45945945945946,56,"intermittent"
"00C18R-E","HF",17,41,12,13,25,20,20,0.6,0.65,25,"intermittent"
"00C5HK-E","HF",20,24,3,2,5,12,11,0.25,0.181818181818182,5,"intermittent"
"00C5SC-E","HF",67,85,9,10,19,42,42,0.214285714285714,0.238095238095238,19,"intermittent"
"00C6KG-E","HF",28,85,29,29,58,28,28,1.03571428571429,1.03571428571429,58,"quarterly"
"00C6P0-E","HF",39,48,5,5,10,10,10,0.5,0.5,10,"intermittent"
"00C94T-E","HF",19,68,25,24,49,34,33,0.735294117647059,0.727272727272727,50,"intermittent"
"00C958-E","HF",19,85,33,34,67,33,33,1,1.03030303030303,67,"quarterly"
"00CB29-E","HF",20,26,4,3,7,4,4,1,0.75,7,"intermittent"
"00CDP3-E","HF",21,25,2,3,5,3,3,0.666666666666667,1,5,"too short to classify"
"00CDP5-E","HF",69,72,2,2,4,36,35,0.0555555555555556,0.0571428571428571,4,"intermittent"
"00CDZ7-E","HF",20,41,11,11,22,20,20,0.55,0.55,22,"intermittent"
"00CF4G-E","HF",20,85,33,33,66,42,42,0.785714285714286,0.785714285714286,66,"intermittent"
"00CF5H-E","HF",42,57,8,8,16,18,19,0.444444444444444,0.421052631578947,16,"intermittent"
"00CF62-E","HF",69,85,8,9,17,33,33,0.242424242424242,0.272727272727273,17,"intermittent"
"00CF76-E","HF",20,85,11,8,19,42,42,0.261904761904762,0.19047619047619,66,"intermittent"
"00CF8J-E","HF",21,27,3,4,7,13,13,0.230769230769231,0.307692307692308,7,"intermittent"
"00CF9G-E","HF",20,20,1,0,1,1,1,1,0,1,"too short to classify"
"00CFB2-E","HF",20,65,19,19,38,17,17,1.11764705882353,1.11764705882353,46,"quarterly"
"00CFBL-E","HF",20,28,5,4,9,6,5,0.833333333333333,0.8,9,"quarterly"
"00CFBZ-E","HF",20,32,7,6,13,7,7,1,0.857142857142857,13,"quarterly"
"00CFYZ-E","HF",31,83,26,27,53,32,33,0.8125,0.818181818181818,53,"quarterly"
"00CL4Z-E","HF",24,44,10,9,19,14,13,0.714285714285714,0.692307692307692,21,"intermittent"
"00CLJ7-E","HF",21,85,32,33,65,42,42,0.761904761904762,0.785714285714286,65,"intermittent"
"00CLT0-E","HF",24,40,5,3,8,11,10,0.454545454545455,0.3,17,"intermittent"
"00CM87-E","HF",41,85,22,23,45,42,42,0.523809523809524,0.547619047619048,45,"intermittent"
"00CR1Y-E","HF",77,85,4,5,9,42,42,0.0952380952380952,0.119047619047619,9,"intermittent"
"00CV27-E","HF",32,63,16,14,30,31,31,0.516129032258065,0.451612903225806,32,"intermittent"
"00CX87-E","HF",33,42,4,5,9,14,13,0.285714285714286,0.384615384615385,10,"intermittent"
"00CZDW-E","HF",75,75,0,1,1,30,30,0,0.0333333333333333,1,"intermittent"
"00D0DV-E","HF",24,35,6,3,9,10,10,0.6,0.3,12,"intermittent"
"00D0T6-E","HF",24,28,3,2,5,7,6,0.428571428571429,0.333333333333333,5,"intermittent"
"00D0ZW-E","HF",24,31,4,4,8,5,6,0.8,0.666666666666667,8,"intermittent"
"00D13C-E","HF",24,85,30,31,61,33,34,0.909090909090909,0.911764705882353,62,"quarterly"
"00D183-E","HF",24,55,3,4,7,18,19,0.166666666666667,0.210526315789474,32,"intermittent"
"00D18N-E","HF",24,36,7,6,13,9,9,0.777777777777778,0.666666666666667,13,"intermittent"
"00D19V-E","HF",24,43,8,8,16,12,13,0.666666666666667,0.615384615384615,20,"intermittent"
"00D1B4-E","HF",24,33,5,5,10,7,8,0.714285714285714,0.625,10,"intermittent"
